,License_plate_number,Distance,Number_of_Trips_Completed,Average_Speed,Transporter_Name,Number_of_Speed_Violations
2702,GJ02VV9111,1168719573.683562,1,21.42612505397521,Shreeji Petroleum,114
2703,GJ02VV9111,1168719573.683562,1,21.42612505397521,Shreeji Petroleum,114
2704,GJ08Y2430,1040871151.0136099,1,19.983435604375014,Amrutchhaya Petroleum,3
2705,BR9E4140,456301477.0098641,1,13.370613370507304,Sultania Carriers Private Limited,1
2706,GJ03AT3477,68746529.44512738,1,15.775800071916576,JINAL ENTERPRISE,0
2707,GJ08Y2430,1040871151.0136099,1,19.983435604375014,Amrutchhaya Petroleum,3
2708,GJ08Y2430,1040871151.0136099,1,19.983435604375014,Amrutchhaya Petroleum,3
2709,GJ10X8816,1099909586.683948,1,11.023137973833137,Nandkishor Roadlines,4
2710,GJ26T5383,306252759.92233104,1,14.292850313396366,Vijay Roadlines,0
2711,BR09T9786,562600361.3198634,1,13.522394847464293,OD MOTOR SERVICE,53
2712,HR47C6476,357950263.0301328,1,21.937516543144522,S.R.Filling Station,13
2713,GJ11TT9978,12150629.172152745,1,22.309341500765697,Bhagyoday Petroleum,0
2714,HR55AB1478,752728813.7911171,1,10.191988787136705,MI Filling Staion,13
2715,GJ11TT9978,12150629.172152745,1,22.309341500765697,Bhagyoday Petroleum,0
2716,HR47D2625,363848207.7898197,1,21.50814470065581,S.R.Filling Station,7
2717,HR45B4862,987490393.1041237,1,7.686528330034476,Ahuja Service Station,6
2718,HR46E6939,660294790.9176219,1,6.52000318705348,Hari Mohan Filling Station,5
2719,GJ06AV1137,1032622238.2146928,1,8.8152679596399,Shiva roadlines,14
2720,GJ06TT8169,1027795759.7979811,1,9.917835550908064,Maa Trading Company,2
2721,HR56B9106,268314293.06355205,1,15.190194384449244,Sun Shine Roadlines,17
2722,HR45B8785,348360235.2857977,1,22.204216947354464,Ahuja Service Station,5726
2723,HR45B6525,956930785.0396438,1,7.884742454277071,Ahuja Service Station,0
2724,HR45B8760,339459451.63336426,1,15.268041589128096,Ahuja Service Station,0
2725,HR45B8611,971191985.0869901,1,7.103934324659232,Shree Shyam Singh Sadhu Singh,43
2726,HR45C7078,944650495.6613568,1,7.614363854889745,Ahuja Service Station,20
2727,HR61F2126,960933015.5641272,1,8.093393346095132,Mannat Roadlines,4
2728,GJ25U2270,313525780.83363813,1,12.598245131909549,Jagdish Petroleum,0
2729,HR65A5170,459949663.60148305,1,21.02583403969991,Haryana Filling Station,1
2730,HR45B6109,1002727347.9136237,1,8.841560073553572,Ahuja Service Station,1
2731,HR45B6631,394331712.30378443,1,22.160271641878612,Ahuja Service Station,9676
2732,HR45B9981,194070066.8834224,1,14.289354963998685,Peer Baba Sai Services,13
2733,GJ03AT2584,769294661.8772371,1,3.6320670462338325,Nilesh J Khatana,0
2734,HR45B6303,457380411.1384949,1,18.74961795119963,Ahuja Service Station,11
2735,GJ03BT3961,1081798191.7116566,1,10.4166619627677,Shree Dada Dayalu Logistics,27
